,date,tencent,ali,sum_13
187,20210828 19,79028,117356,405647
188,20210828 20,79329,117516,406548
189,20210828 21,73396,110114,382764
190,20210828 22,68102,100484,350165
191,20210828 23,61645,89312,317848
192,20210829 00,56110,78895,280612
193,20210829 01,41679,58452,219165
194,20210829 02,33418,45307,178230
195,20210829 03,26280,35590,146541
196,20210829 04,23605,30697,128806
197,20210829 05,26671,33085,138951
198,20210829 06,34427,44110,175743
199,20210829 07,51386,65666,248857
200,20210829 08,65415,84770,316046
201,20210829 09,77424,105318,384491
202,20210829 10,82492,118405,420860
203,20210829 11,84842,120624,418697
204,20210829 12,86726,125619,437142
205,20210829 13,86291,125967,442069
206,20210829 14,88458,125952,447293
207,20210829 15,88552,125937,449257
208,20210829 16,86134,125382,445586
209,20210829 17,83272,121946,420690
210,20210829 18,82697,120536,413571
211,20210829 19,80510,118475,414428
212,20210829 20,80405,119419,413535
213,20210829 21,76620,116386,397711
214,20210829 22,73982,107210,373128
215,20210829 23,64408,96674,334506
216,20210830 00,55027,81145,286776
217,20210830 01,41142,56691,219768
218,20210830 02,30425,42498,171536
219,20210830 03,25704,34021,141878
220,20210830 04,23038,28711,125667
221,20210830 05,26978,34447,144402
222,20210830 06,41568,52956,207004
223,20210830 07,59961,77557,285106
224,20210830 08,80369,108095,395829
225,20210830 09,97047,139554,489768
226,20210830 10,105146,157451,541805
227,20210830 11,102637,152788,518365
228,20210830 12,104977,154826,527070
229,20210830 13,103693,156100,534585
230,20210830 14,106943,160828,551501
231,20210830 15,106974,163322,555682
232,20210830 16,103887,159578,537697
233,20210830 17,93011,136085,461452
234,20210830 18,91587,132566,457000
235,20210830 19,89973,132479,458984
236,20210830 20,88764,133134,457946
237,20210830 21,84497,128023,441165
238,20210830 22,78215,117484,400943
239,20210830 23,68300,99274,350211
240,20210831 00,58233,83115,299203
241,20210831 01,40832,56404,219425
242,20210831 02,30074,41038,165781
243,20210831 03,26335,33585,145177
244,20210831 04,22379,29387,126726
245,20210831 05,25960,33032,140077
246,20210831 06,37559,49322,194432
247,20210831 07,59671,78857,288086
248,20210831 08,93292,130001,455304
249,20210831 09,108747,160309,549693
250,20210831 10,113250,168582,577358
251,20210831 11,109231,165754,552038
252,20210831 12,107017,158595,537784
253,20210831 13,110541,163247,556265
254,20210831 14,111256,168457,572778
255,20210831 15,112833,171312,579819
256,20210831 16,108407,163519,551833
257,20210831 17,93719,139474,471039
258,20210831 18,94904,138263,470464
259,20210831 19,92098,137808,474315
260,20210831 20,90076,134771,461125
261,20210831 21,87152,128653,444031
262,20210831 22,77197,118048,401730
263,20210831 23,69501,107095,369073
264,20210901 00,57851,92542,307034
265,20210901 01,41258,65357,225762
266,20210901 02,30248,46494,173372
267,20210901 03,24245,35805,141784
268,20210901 04,21152,32295,126577
269,20210901 05,24714,35657,141167
270,20210901 06,37033,52625,193578
271,20210901 07,60208,88017,302960
272,20210901 08,89396,139902,455717
273,20210901 09,104320,173567,549000
274,20210901 10,109083,188262,588332
275,20210901 11,104456,177267,549330
276,20210901 12,106911,177180,554452
277,20210901 13,104501,171921,551436
278,20210901 14,106398,181540,574459
279,20210901 15,107306,187469,583764
280,20210901 16,101872,177908,550700
281,20210901 17,92568,152919,481685
282,20210901 18,91306,152601,478193
283,20210901 19,89937,149658,474913
284,20210901 20,87273,148491,469130
285,20210901 21,83134,140692,447442
286,20210901 22,77742,131231,412648
287,20210901 23,71185,118917,376664
288,20210902 00,60405,95369,312576
289,20210902 01,41076,65663,228714
290,20210902 02,30198,47555,172865
291,20210902 03,23401,38773,145998
292,20210902 04,20282,33671,128440
293,20210902 05,23939,36997,143205
294,20210902 06,36966,53823,198111
295,20210902 07,61872,89295,305419
296,20210902 08,93256,145504,475788
297,20210902 09,108742,180654,575817
298,20210902 10,113478,190051,603270
299,20210902 11,107825,181155,565141
300,20210902 12,109188,181649,574879
301,20210902 13,112650,186089,595400
302,20210902 14,114599,192251,610808
303,20210902 15,116503,197471,617923
304,20210902 16,106460,182016,568296
305,20210902 17,96287,162933,505625
306,20210902 18,96893,160463,499947
307,20210902 19,94217,157079,493179
308,20210902 20,94794,158840,499583
309,20210902 21,89542,149548,473304
310,20210902 22,80516,134798,428703
311,20210902 23,73456,121947,390598
312,20210903 00,60767,99811,328032
313,20210903 01,44232,71963,247366
314,20210903 02,33578,53764,196127
315,20210903 03,28136,43623,160719
316,20210903 04,23261,36495,139252
317,20210903 05,23777,37650,143011
318,20210903 06,39448,57708,208503
319,20210903 07,57873,85283,295887
320,20210903 08,91699,140415,464302
321,20210903 09,110344,176088,571857
322,20210903 10,116179,193288,610502
323,20210903 11,112864,182897,579435
324,20210903 12,113917,186491,588850
325,20210903 13,112070,183196,590683
326,20210903 14,112509,189907,602623
327,20210903 15,116317,194436,612384
328,20210903 16,111503,186427,583108
329,20210903 17,98226,158894,506014
330,20210903 18,95082,153444,489211
331,20210903 19,91700,149549,477329
332,20210903 20,90416,149277,477345
333,20210903 21,87965,143696,460268
334,20210903 22,81344,131745,425060
335,20210903 23,74722,122762,397245
336,20210904 00,65305,105049,347198
337,20210904 01,48643,75459,260801
338,20210904 02,35674,52996,197858
339,20210904 03,27009,41817,159007
340,20210904 04,22321,34190,133294
341,20210904 05,23850,36360,140157
342,20210904 06,33330,47758,179161
343,20210904 07,50248,72435,255794
344,20210904 08,73902,108236,369334
345,20210904 09,88538,138077,456178
346,20210904 10,96553,157221,504520
347,20210904 11,94945,153797,489230
348,20210904 12,97197,156588,497051
349,20210904 13,92398,150121,490386
350,20210904 14,94995,153769,503445
351,20210904 15,98736,158789,514993
352,20210904 16,99178,159344,510923
353,20210904 17,93181,148281,475234
354,20210904 18,92551,146940,472897
355,20210904 19,90526,152095,481858
356,20210904 20,91426,152158,486387
357,20210904 21,89959,151369,477823
358,20210904 22,85156,140270,447528
359,20210904 23,78163,129129,414407
360,20210905 00,67037,107933,357038
361,20210905 01,47679,76644,263034
362,20210905 02,35137,56343,201937
363,20210905 03,27249,42566,162585
364,20210905 04,22781,36210,141246
365,20210905 05,22191,35209,139363
366,20210905 06,31784,49249,181936
367,20210905 07,48751,71673,251522
368,20210905 08,73788,110459,375079
369,20210905 09,94955,150687,491137
370,20210905 10,106344,170784,551929
371,20210905 11,103100,169454,540825
372,20210905 12,103109,169187,537757
373,20210905 13,104724,172663,550919
374,20210905 14,105614,173592,558899
375,20210905 15,104854,175665,562892
376,20210905 16,107956,179128,569273
377,20210905 17,101321,167752,527387
378,20210905 18,100625,168265,529853
379,20210905 19,99489,169484,531456
380,20210905 20,100210,167671,529955
381,20210905 21,92144,156136,488108
382,20210905 22,87927,148235,463536
383,20210905 23,79481,134533,424548
384,20210906 00,66334,109292,357243
385,20210906 01,47343,75495,261719
386,20210906 02,33323,53416,194480
387,20210906 03,27335,43091,162590
388,20210906 04,21875,34914,135225
389,20210906 05,23587,37471,142195
390,20210906 06,37812,55789,205353
391,20210906 07,78968,117791,391728
392,20210906 08,122893,195948,632514
393,20210906 09,144248,237781,755006
394,20210906 10,159695,269343,845290
395,20210906 11,144514,241393,753088
396,20210906 12,139552,233602,727887
397,20210906 13,156652,264340,833017
398,20210906 14,154312,263409,828750
399,20210906 15,160991,270640,845021
400,20210906 16,147351,248977,774833
401,20210906 17,126292,208999,650659
402,20210906 18,130040,220051,678153
403,20210906 19,124240,214324,662047
404,20210906 20,122596,212962,654091
405,20210906 21,106999,183445,569827
406,20210906 22,90785,154714,483139
407,20210906 23,80449,136851,429120
408,20210907 00,71428,117835,380577
409,20210907 01,47839,78634,270591
410,20210907 02,32254,52820,195857
411,20210907 03,25834,40954,158935
412,20210907 04,22081,35166,138740
413,20210907 05,25386,38434,149710
414,20210907 06,38787,57002,211194
415,20210907 07,80126,119943,397186
416,20210907 08,125713,203403,657635
417,20210907 09,151751,251195,792630
418,20210907 10,161754,280502,877632
419,20210907 11,150472,252876,787356
