,date,tencent,ali,sum_13
819,20210924 03,26639,35952,151904
820,20210924 04,23537,32323,136711
821,20210924 05,24014,31494,135508
822,20210924 06,35250,45617,184226
823,20210924 07,70217,85861,330033
824,20210924 08,121594,159366,599258
825,20210924 09,147857,202465,739852
826,20210924 10,162982,226507,818225
827,20210924 11,147789,204467,726439
828,20210924 12,128508,181879,640516
829,20210924 13,135525,190757,682099
830,20210924 14,138575,198175,707417
831,20210924 15,134029,188544,678464
832,20210924 16,124757,176832,631441
833,20210924 17,114729,162873,572229
834,20210924 18,114945,164120,574727
835,20210924 19,111650,159458,562572
836,20210924 20,113042,164523,572754
837,20210924 21,100186,143924,506199
838,20210924 22,88279,130459,449120
839,20210924 23,80105,119614,407969
840,20210925 00,75029,110875,383116
841,20210925 01,57666,81899,297628
842,20210925 02,42375,58586,224364
843,20210925 03,31166,40505,167338
844,20210925 04,25297,33558,139368
845,20210925 05,26385,34069,141995
846,20210925 06,34643,44624,177525
847,20210925 07,57336,72809,276122
848,20210925 08,86188,111656,416927
849,20210925 09,105386,143782,523681
850,20210925 10,116703,162937,580926
851,20210925 11,113708,163022,564684
852,20210925 12,106883,151579,534987
853,20210925 13,109673,155064,550206
854,20210925 14,115674,163752,587502
855,20210925 15,119655,175275,614938
856,20210925 16,117795,169396,602199
857,20210925 17,106279,151133,534109
858,20210925 18,104195,148635,522385
859,20210925 19,107863,155203,548925
860,20210925 20,102125,148674,519395
861,20210925 21,98606,143180,501966
862,20210925 22,85841,128400,442311
863,20210925 23,79387,120756,415318
864,20210926 00,76081,112156,389460
865,20210926 01,57962,81127,295834
866,20210926 02,41628,55540,218742
867,20210926 03,31066,40772,167278
868,20210926 04,24923,33876,140372
869,20210926 05,25251,33214,140715
870,20210926 06,36077,46290,184804
871,20210926 07,75477,91725,345882
872,20210926 08,121838,158851,590764
873,20210926 09,145383,195805,714028
874,20210926 10,159055,218291,790087
875,20210926 11,147660,203638,720350
876,20210926 12,141385,194563,687537
877,20210926 13,153219,212233,762832
878,20210926 14,159361,223496,797796
879,20210926 15,168169,238841,840565
880,20210926 16,151435,214939,751351
881,20210926 17,130702,179896,629884
882,20210926 18,131277,184908,644775
883,20210926 19,125863,180344,633925
884,20210926 20,119745,175651,606924
885,20210926 21,100366,150713,514649
886,20210926 22,94158,140330,479119
887,20210926 23,88574,133157,454359
888,20210927 00,72670,109310,379792
889,20210927 01,56187,78577,294296
890,20210927 02,36295,50539,204127
891,20210927 03,28654,37947,158813
892,20210927 04,23868,31175,133703
893,20210927 05,25996,34165,140901
894,20210927 06,38344,49037,195126
895,20210927 07,81065,102443,380136
896,20210927 08,129236,173466,633298
897,20210927 09,152318,211871,759331
898,20210927 10,171187,241038,854639
899,20210927 11,164743,223105,794429
900,20210927 12,144800,206095,717831
901,20210927 13,160056,225116,802273
902,20210927 14,164446,232666,830843
903,20210927 15,167818,237744,839716
904,20210927 16,155791,220756,780758
905,20210927 17,129960,183069,644887
906,20210927 18,133302,191626,668140
907,20210927 19,133234,195407,673741
908,20210927 20,123774,183394,633818
909,20210927 21,109442,163406,565814
910,20210927 22,92356,138999,475429
911,20210927 23,87253,129190,444019
912,20210928 00,78138,115044,401789
913,20210928 01,54900,79477,290642
914,20210928 02,37260,53019,208072
915,20210928 03,29914,39334,164381
916,20210928 04,25249,33053,142415
917,20210928 05,27511,34797,147643
918,20210928 06,39140,49681,196811
919,20210928 07,79688,102589,377946
920,20210928 08,132686,176400,643339
921,20210928 09,155566,215151,763338
922,20210928 10,173748,243287,859127
923,20210928 11,155026,219829,764618
924,20210928 12,146733,218562,740686
925,20210928 13,187898,272781,961124
926,20210928 14,160627,229859,810196
927,20210928 15,163648,233513,823306
928,20210928 16,149644,214487,752299
929,20210928 17,128884,185168,640282
930,20210928 18,134013,190957,665792
931,20210928 19,132168,190834,662569
932,20210928 20,122901,178115,619654
933,20210928 21,106364,157750,542429
934,20210928 22,89386,132614,457683
935,20210928 23,85831,128901,441540
936,20210929 00,76914,111695,389826
937,20210929 01,56298,81562,300319
938,20210929 02,40619,55130,219970
939,20210929 03,30734,40964,170043
940,20210929 04,25141,34152,144364
941,20210929 05,28638,36502,151964
942,20210929 06,41247,51887,207900
943,20210929 07,83990,105640,392015
944,20210929 08,130848,175211,643544
945,20210929 09,153630,211973,756969
946,20210929 10,168671,236566,840335
947,20210929 11,152407,211793,747641
948,20210929 12,144040,202223,710649
949,20210929 13,151074,213648,763203
950,20210929 14,161611,233040,814612
951,20210929 15,165212,238248,822903
952,20210929 16,155068,222190,765325
953,20210929 17,130563,185471,634934
954,20210929 18,127399,181408,628779
955,20210929 19,125766,182253,627907
956,20210929 20,111159,165496,566605
957,20210929 21,102368,150889,520603
958,20210929 22,85614,127909,437288
959,20210929 23,80578,122151,413238
960,20210930 00,77833,114619,393821
961,20210930 01,56402,81603,295311
962,20210930 02,40364,56183,218765
963,20210930 03,30423,42389,172176
964,20210930 04,27865,36840,155662
965,20210930 05,29671,39341,160383
966,20210930 06,42133,54874,210229
967,20210930 07,82998,106866,391754
968,20210930 08,129119,174275,630014
969,20210930 09,151935,210265,748429
970,20210930 10,163267,233682,814993
971,20210930 11,151109,212094,738135
972,20210930 12,136834,192990,668994
973,20210930 13,149266,212153,742174
974,20210930 14,152713,216274,761783
975,20210930 15,147610,210935,733774
976,20210930 16,138086,199524,687374
977,20210930 17,116815,168698,579230
978,20210930 18,114797,164917,569297
979,20210930 19,119867,169144,589257
980,20210930 20,110415,159245,548345
981,20210930 21,100402,145693,504110
982,20210930 22,87752,127712,440474
983,20210930 23,76485,116045,388396
